sample_id,filename,direction,ssim,psnr,mse,mae,rmse
mri_095,chaos_mri_IMG-0040-00044_slice_000,MRI->CT->MRI,0.8998448917968274,31.48682072244998,0.0007100974085993713,0.014209103770554066,0.02664765296605634
mri_096,chaos_mri_IMG-0006-00052_slice_000,MRI->CT->MRI,0.8955161809642315,31.581797890315748,0.000694736651286831,0.013801163993775845,0.026357857486655305
mri_097,chaos_mri_IMG-0017-00042_slice_000,MRI->CT->MRI,0.9064069716343656,30.68073885648475,0.0008549212544747644,0.014870465733110905,0.029239036483351574
mri_098,chaos_mri_IMG-0016-00034_slice_000,MRI->CT->MRI,0.9474161836918592,31.595865738136602,0.0006924898722721654,0.012276836670935154,0.02631520230346264
mri_099,chaos_mri_IMG-0064-00040_slice_000,MRI->CT->MRI,0.9283219068903923,31.162470142518245,0.0007651612813199258,0.014510435052216053,0.027661548787440045
mri_100,chaos_mri_IMG-0058-00058_slice_000,MRI->CT->MRI,0.9650359062473775,31.910449290783056,0.0006441026277024381,0.010526263155043125,0.02537917704935363
mri_101,chaos_mri_IMG-0017-00034_slice_000,MRI->CT->MRI,0.8996150415023565,30.939456498583876,0.0008054792372562069,0.015500012785196304,0.028380966108577186
mri_102,chaos_mri_IMG-0075-00049_slice_000,MRI->CT->MRI,0.9065423192535341,26.922279970838517,0.0020312903387093694,0.020556291565299034,0.045069838458878124
mri_103,chaos_mri_IMG-0034-00057_slice_000,MRI->CT->MRI,0.8559594833266028,25.57400994436321,0.0027707606139636396,0.029458122327923775,0.0526380149128331
mri_104,chaos_mri_IMG-0075-00045_slice_000,MRI->CT->MRI,0.9204953834348172,26.664818345449206,0.0021553517946710284,0.02113574557006359,0.046425766495245165
mri_105,chaos_mri_IMG-0031-00004_slice_000,MRI->CT->MRI,0.9017198726930619,29.956736076817183,0.0010100116712288391,0.01727919653058052,0.03178068078611342
mri_106,chaos_mri_IMG-0028-00002_slice_000,MRI->CT->MRI,0.9373380958263874,31.918770399771933,0.0006428697046268429,0.01295574102550745,0.025354875362084566
mri_107,chaos_mri_IMG-0013-00034_slice_000,MRI->CT->MRI,0.8577956438611746,30.63668174441915,0.0008636381641678663,0.01698341965675354,0.029387721316357047
